,name,pos,type,connection,voltage,connection_length
0,LV1.101 Bus 1,"(1.39, 1.1125000000014822)",bus,,lv,
1,LV1.101 Bus 2,"(0.9451999999999605, 1.1125000000014822)",bus,,lv,
2,LV1.101 Bus 3,"(0.0, 0.27812500000135865)",bus,,lv,
3,LV1.101 Bus 4,"(0.667200000000553, 1.446250000000741)",bus,,lv,
4,LV1.101 Bus 5,"(0.4448000000000395, 0.0)",bus,,lv,
5,LV1.101 Bus 6,"(0.4448000000000395, 0.27812500000135865)",bus,,lv,
6,LV1.101 Bus 7,"(0.4448000000000395, 1.1125000000014822)",bus,,lv,
7,LV1.101 Bus 8,"(0.0, 1.1125000000014822)",bus,,lv,
8,LV1.101 Bus 9,"(0.9451999999999605, 0.8343750000001235)",bus,,lv,
9,LV1.101 Bus 10,"(0.0, 0.5562499999987649)",bus,,lv,
10,LV1.101 Bus 11,"(0.0, 0.8343750000001235)",bus,,lv,
11,LV1.101 Bus 12,"(0.4448000000000395, 0.8900000000019762)",bus,,lv,
12,LV1.101 Bus 13,"(1.0007999999998418, 0.5562499999987649)",bus,,lv,
13,LV1.101 Bus 14,"(0.4448000000000395, 0.5562499999987649)",bus,,lv,
14,MV1.101 Bus 4,"(0.7228000000004345, 1.78)",first_bus,,lv,
15,LV1.101 Line 1,,line,"('LV1.101 Bus 10', 'LV1.101 Bus 3')",lv,0.0557667
16,LV1.101 Line 2,,line,"('LV1.101 Bus 14', 'LV1.101 Bus 12')",lv,0.0535763
17,LV1.101 Line 3,,line,"('LV1.101 Bus 7', 'LV1.101 Bus 4')",lv,0.0498145
18,LV1.101 Line 4,,line,"('LV1.101 Bus 9', 'LV1.101 Bus 2')",lv,0.0178861
19,LV1.101 Line 5,,line,"('LV1.101 Bus 8', 'LV1.101 Bus 11')",lv,0.0160892
20,LV1.101 Line 6,,line,"('LV1.101 Bus 11', 'LV1.101 Bus 10')",lv,0.0247661
21,LV1.101 Line 7,,line,"('LV1.101 Bus 4', 'LV1.101 Bus 8')",lv,0.00514112
22,LV1.101 Line 8,,line,"('LV1.101 Bus 12', 'LV1.101 Bus 7')",lv,0.00214695
23,LV1.101 Line 9,,line,"('LV1.101 Bus 6', 'LV1.101 Bus 14')",lv,0.137215
24,LV1.101 Line 10,,line,"('LV1.101 Bus 4', 'LV1.101 Bus 1')",lv,0.132499
25,LV1.101 Line 12,,line,"('LV1.101 Bus 2', 'LV1.101 Bus 4')",lv,0.0162072
26,LV1.101 Line 13,,line,"('LV1.101 Bus 13', 'LV1.101 Bus 9')",lv,0.0460153
27,LV1.101 Line 11,,line,"('LV1.101 Bus 5', 'LV1.101 Bus 6')",lv,0.00258257
28,MV1.101-LV1.101-Trafo 1,"(0.6950000000004938, 1.6131250000003705)",trafo,"('MV1.101 Bus 4', 'LV1.101 Bus 4')",lv,
29,LV1.101 Load 1,"(-0.01557055816048866, 0.5873163840588843)",load,LV1.101 Bus 10,lv,
30,LV1.101 Load 2,"(-0.017307026135578087, 1.1140354059225392)",load,LV1.101 Bus 8,lv,
31,LV1.101 Load 3,"(0.4795500000000395, 0.5562499999987649)",load,LV1.101 Bus 14,lv,
32,LV1.101 Load 4,"(1.0355499999998419, 0.5562499999987649)",load,LV1.101 Bus 13,lv,
33,LV1.101 Load 5,"(0.9296294418394718, 0.865441384060243)",load,LV1.101 Bus 9,lv,
34,LV1.101 Load 6,"(0.4795500000000395, 0.27812500000135865)",load,LV1.101 Bus 6,lv,
35,LV1.101 Load 7,"(0.009127469555708053, 0.29290944874013897)",load,LV1.101 Bus 3,lv,
36,LV1.101 Load 8,"(1.42475, 1.1125000000014822)",load,LV1.101 Bus 1,lv,
37,LV1.101 Load 9,"(0.4795500000000395, 1.1125000000014822)",load,LV1.101 Bus 7,lv,
38,LV1.101 Load 10,"(0.4795500000000395, 0.8900000000019762)",load,LV1.101 Bus 12,lv,
39,LV1.101 Load 11,"(-0.01557055816048866, 0.865441384060243)",load,LV1.101 Bus 11,lv,
40,LV1.101 Load 12,"(0.9625749999999605, 1.1125000000014822)",load,LV1.101 Bus 2,lv,
41,LV1.101 Load 13,"(0.4795500000000395, 0.0)",load,LV1.101 Bus 5,lv,
42,LV1.101 SGen 1,"(0.4274929738644614, 1.1140354059225392)",gen,LV1.101 Bus 7,lv,
43,LV1.101 SGen 2,"(-0.017307026135578087, 0.8359104059211806)",gen,LV1.101 Bus 11,lv,
44,LV1.101 SGen 4,"(0.006382174014313009, 1.0963396014961535)",gen,LV1.101 Bus 8,lv,
45,LV1.101 SGen 3,"(0.9852294418393531, 0.5873163840588843)",gen,LV1.101 Bus 13,lv,
