,name,pos,type,connection,voltage,connection_length
0,MV1.101 Bus 52,"(2.56, 0.778749999998463)",first_bus,,lv,
1,LV4.101 Bus 1,"(2.2817391304344388, 2.224999999999561)",bus,,lv,
2,LV4.101 Bus 35,"(1.9478260869559632, 2.836875000000329)",bus,,lv,
3,LV4.101 Bus 14,"(2.2817391304344388, 2.6699999999986823)",bus,,lv,
4,LV4.101 Bus 22,"(1.5582608695645725, 1.5575000000008783)",bus,,lv,
5,LV4.101 Bus 4,"(2.56, 1.0012499999980238)",bus,,lv,
6,LV4.101 Bus 16,"(1.5026086956516582, 2.4474999999991214)",bus,,lv,
7,LV4.101 Bus 25,"(2.56, 0.33374999999934124)",bus,,lv,
8,LV4.101 Bus 26,"(1.9478260869559632, 3.281874999999451)",bus,,lv,
9,LV4.101 Bus 9,"(0.9460869565215242, 2.7812499999984626)",bus,,lv,
10,LV4.101 Bus 21,"(1.5026086956516582, 2.6699999999986823)",bus,,lv,
11,LV4.101 Bus 29,"(2.2817391304344388, 2.0025)",bus,,lv,
12,LV4.101 Bus 12,"(2.2817391304344388, 2.4474999999991214)",bus,,lv,
13,LV4.101 Bus 23,"(1.5026086956516582, 1.7800000000004392)",bus,,lv,
14,LV4.101 Bus 31,"(1.0017391304344387, 3.281874999999451)",bus,,lv,
15,LV4.101 Bus 32,"(1.3913043478258291, 4.005)",bus,,lv,
16,LV4.101 Bus 33,"(2.2817391304344388, 1.6131249999987924)",bus,,lv,
17,LV4.101 Bus 17,"(2.56, 1.1681249999996706)",bus,,lv,
18,LV4.101 Bus 28,"(2.2817391304344388, 1.3906249999992313)",bus,,lv,
19,LV4.101 Bus 2,"(1.0017391304344387, 2.558749999998902)",bus,,lv,
20,LV4.101 Bus 3,"(2.0034782608688775, 0.22249999999956083)",bus,,lv,
21,LV4.101 Bus 5,"(1.9478260869559632, 3.504374999999012)",bus,,lv,
22,LV4.101 Bus 6,"(2.56, 0.778749999998463)",bus,,lv,
23,LV4.101 Bus 7,"(2.2817391304344388, 1.7800000000004392)",bus,,lv,
24,LV4.101 Bus 24,"(1.5026086956516582, 2.1693750000016467)",bus,,lv,
25,LV4.101 Bus 34,"(2.0034782608688775, 0.5006250000009881)",bus,,lv,
26,LV4.101 Bus 10,"(2.0034782608688775, 0.0)",bus,,lv,
