,name,pos,type,connection,voltage,connection_length
0,MV2.101 Bus 5,"(0.8901408450701721, 2.9472608695669007)",first_bus,,lv,
1,LV5.201 Bus 27,"(1.335211267605258, 4.726739130435469)",bus,,lv,
2,LV5.201 Bus 82,"(3.504929577464914, 2.8360434782628623)",bus,,lv,
3,LV5.201 Bus 19,"(1.335211267605258, 4.115043478261281)",bus,,lv,
4,LV5.201 Bus 5,"(3.504929577464914, 4.22626086956532)",bus,,lv,
5,LV5.201 Bus 86,"(2.2809859154931806, 1.5570434782604914)",bus,,lv,
6,LV5.201 Bus 45,"(2.948591549295316, 1.8350869565225638)",bus,,lv,
7,LV5.201 Bus 31,"(0.6676056338031231, 5.171608695651624)",bus,,lv,
8,LV5.201 Bus 81,"(3.504929577464914, 4.393086956519403)",bus,,lv,
9,LV5.201 Bus 62,"(1.7802816901403442, 3.6701739130451276)",bus,,lv,
10,LV5.201 Bus 71,"(2.5035211267602295, 4.003826086957243)",bus,,lv,
11,LV5.201 Bus 76,"(2.5591549295769918, 3.058478260870939)",bus,,lv,
12,LV5.201 Bus 70,"(2.6704225352115043, 1.8350869565225638)",bus,,lv,
13,LV5.201 Bus 101,"(3.504929577464914, 1.8906956521726073)",bus,,lv,
14,LV5.201 Bus 32,"(2.5591549295769918, 5.449652173913696)",bus,,lv,
15,LV5.201 Bus 30,"(0.0, 5.838913043475856)",bus,,lv,
16,LV5.201 Bus 4,"(2.6704225352115043, 1.5570434782604914)",bus,,lv,
17,LV5.201 Bus 61,"(1.3908450704230086, 4.281869565215364)",bus,,lv,
18,LV5.201 Bus 16,"(2.5591549295769918, 5.616478260867778)",bus,,lv,
19,LV5.201 Bus 36,"(0.8901408450701721, 2.3355652173927126)",bus,,lv,
20,LV5.201 Bus 40,"(3.504929577464914, 2.6692173913048287)",bus,,lv,
21,LV5.201 Bus 79,"(2.837323943661791, 2.6692173913048287)",bus,,lv,
22,LV5.201 Bus 100,"(2.6704225352115043, 0.38926086956611067)",bus,,lv,
23,LV5.201 Bus 1,"(3.504929577464914, 5.838913043475856)",bus,,lv,
24,LV5.201 Bus 49,"(2.5035211267602295, 4.22626086956532)",bus,,lv,
25,LV5.201 Bus 57,"(2.5035211267602295, 4.671130434781475)",bus,,lv,
26,LV5.201 Bus 59,"(3.504929577464914, 2.4467826086967515)",bus,,lv,
27,LV5.201 Bus 26,"(3.504929577464914, 5.672086956521773)",bus,,lv,
28,LV5.201 Bus 42,"(3.504929577464914, 4.949173913043547)",bus,,lv,
29,LV5.201 Bus 15,"(0.5563380281695987, 2.1687391304346795)",bus,,lv,
30,LV5.201 Bus 64,"(0.8901408450701721, 3.614565217391132)",bus,,lv,
31,LV5.201 Bus 11,"(2.2809859154931806, 2.1687391304346795)",bus,,lv,
32,LV5.201 Bus 102,"(2.6704225352115043, 0.834130434782265)",bus,,lv,
33,LV5.201 Bus 75,"(3.504929577464914, 5.449652173913696)",bus,,lv,
34,LV5.201 Bus 18,"(1.3908450704230086, 3.614565217391132)",bus,,lv,
35,LV5.201 Bus 20,"(3.5605633802816765, 1.66826086956453)",bus,,lv,
36,LV5.201 Bus 7,"(2.6704225352115043, 1.2790000000023707)",bus,,lv,
37,LV5.201 Bus 33,"(2.5591549295769918, 5.227217391301668)",bus,,lv,
38,LV5.201 Bus 98,"(0.8901408450701721, 3.392130434783055)",bus,,lv,
39,LV5.201 Bus 35,"(1.0014084507046848, 5.394043478259701)",bus,,lv,
40,LV5.201 Bus 23,"(0.8901408450701721, 3.169695652174978)",bus,,lv,
41,LV5.201 Bus 56,"(3.504929577464914, 3.614565217391132)",bus,,lv,
42,LV5.201 Bus 8,"(3.504929577464914, 4.615521739131431)",bus,,lv,
43,LV5.201 Bus 29,"(0.5563380281695987, 1.2233913043483757)",bus,,lv,
44,LV5.201 Bus 95,"(1.3908450704230086, 4.559913043477437)",bus,,lv,
45,LV5.201 Bus 85,"(3.504929577464914, 3.058478260870939)",bus,,lv,
46,LV5.201 Bus 105,"(2.5591549295769918, 3.2809130434790164)",bus,,lv,
47,LV5.201 Bus 93,"(2.2809859154931806, 2.3911739130427563)",bus,,lv,
48,LV5.201 Bus 66,"(3.95, 5.449652173913696)",bus,,lv,
49,LV5.201 Bus 72,"(2.837323943661791, 2.0575217391306406)",bus,,lv,
50,LV5.201 Bus 25,"(0.5563380281695987, 1.66826086956453)",bus,,lv,
51,LV5.201 Bus 13,"(1.7802816901403442, 3.8369999999992093)",bus,,lv,
52,LV5.201 Bus 94,"(2.6704225352115043, 0.0)",bus,,lv,
53,LV5.201 Bus 87,"(3.504929577464914, 4.782347826085513)",bus,,lv,
54,LV5.201 Bus 10,"(2.2809859154931806, 1.7794782608685686)",bus,,lv,
55,LV5.201 Bus 50,"(2.5591549295769918, 5.00478260869359)",bus,,lv,
56,LV5.201 Bus 44,"(0.8901408450701721, 2.9472608695669007)",bus,,lv,
57,LV5.201 Bus 21,"(2.837323943661791, 2.8360434782628623)",bus,,lv,
