,name,pos,type,connection,voltage,connection_length
0,MV2.101 Bus 4,"(1.8906060606059407, 0.9458181818183256)",first_bus,,lv,
1,LV6.201 Bus 9,"(1.6681818181821773, 3.06)",bus,,lv,
2,LV6.201 Bus 1,"(1.8906060606059407, 0.5563636363625583)",bus,,lv,
3,LV6.201 Bus 12,"(1.835, 1.7247272727298604)",bus,,lv,
4,LV6.201 Bus 28,"(2.057424242424751, 2.4480000000031628)",bus,,lv,
5,LV6.201 Bus 44,"(2.502272727273266, 2.2810909090924185)",bus,,lv,
6,LV6.201 Bus 13,"(2.9471212121217807, 0.9458181818183256)",bus,,lv,
7,LV6.201 Bus 18,"(1.8906060606059407, 1.502181818184837)",bus,,lv,
8,LV6.201 Bus 46,"(1.8906060606059407, 0.7232727272733023)",bus,,lv,
9,LV6.201 Bus 30,"(2.9471212121217807, 0.7789090909115347)",bus,,lv,
10,LV6.201 Bus 34,"(2.502272727273266, 2.4480000000031628)",bus,,lv,
11,LV6.201 Bus 39,"(1.835, 2.1141818181816747)",bus,,lv,
12,LV6.201 Bus 17,"(2.057424242424751, 2.6149090909099533)",bus,,lv,
13,LV6.201 Bus 19,"(1.112121212120793, 2.1141818181816747)",bus,,lv,
14,LV6.201 Bus 41,"(3.67, 1.7247272727298604)",bus,,lv,
15,LV6.201 Bus 35,"(3.67, 1.891636363636651)",bus,,lv,
16,LV6.201 Bus 7,"(1.835, 1.891636363636651)",bus,,lv,
17,LV6.201 Bus 6,"(1.946212121211882, 2.2810909090924185)",bus,,lv,
18,LV6.201 Bus 42,"(1.8906060606059407, 0.38945454545576735)",bus,,lv,
19,LV6.201 Bus 21,"(2.89151515151584, 0.0)",bus,,lv,
20,LV6.201 Bus 33,"(2.9471212121217807, 1.168363636363349)",bus,,lv,
21,LV6.201 Bus 2,"(1.2233333333336625, 2.2810909090924185)",bus,,lv,
22,LV6.201 Bus 11,"(1.8906060606059407, 1.335272727274093)",bus,,lv,
23,LV6.201 Bus 45,"(2.89151515151584, 0.38945454545576735)",bus,,lv,
24,LV6.201 Bus 3,"(3.3363636363643545, 2.058545454547395)",bus,,lv,
25,LV6.201 Bus 38,"(2.9471212121217807, 1.335272727274093)",bus,,lv,
26,LV6.201 Bus 20,"(3.169545454545544, 2.4480000000031628)",bus,,lv,
27,LV6.201 Bus 36,"(2.168636363636633, 2.1141818181816747)",bus,,lv,
28,LV6.201 Bus 5,"(2.502272727273266, 2.6149090909099533)",bus,,lv,
29,LV6.201 Bus 27,"(2.89151515151584, 1.5578181818191164)",bus,,lv,
