,name,pos,type,connection,voltage,connection_length
0,Bus 0,"(0.5601944444396667, 0.0)",first_bus,,lv,
1,Bus R0,"(0.5601944444396667, 0.0)",first_bus,,lv,
2,Bus R1,"(0.32249999999999995, 0.14327272727272727)",bus,,lv,
3,Bus R2,"(0.32249999999999995, 0.28654545454545455)",bus,,lv,
4,Bus R3,"(0.32249999999999995, 0.4298181818181818)",bus,,lv,
5,Bus R4,"(0.25083333333333335, 0.5730909090909091)",bus,,lv,
6,Bus R5,"(0.1433333333333333, 0.7163636363636364)",bus,,lv,
7,Bus R6,"(0.1433333333333333, 0.8596363636363636)",bus,,lv,
8,Bus R7,"(0.07166666666666666, 1.002909090909091)",bus,,lv,
9,Bus R8,"(0.07166666666666666, 1.1461818181818182)",bus,,lv,
10,Bus R9,"(0.07166666666666666, 1.2894545454545456)",bus,,lv,
11,Bus R10,"(0.0, 1.4327272727272728)",bus,,lv,
12,Bus R11,"(0.3941666666666666, 0.5730909090909091)",bus,,lv,
13,Bus R12,"(0.3583333333333333, 0.7163636363636364)",bus,,lv,
14,Bus R13,"(0.3583333333333333, 0.8596363636363636)",bus,,lv,
15,Bus R14,"(0.3583333333333333, 1.002909090909091)",bus,,lv,
16,Bus R15,"(0.3583333333333333, 1.1461818181818182)",bus,,lv,
17,Bus R16,"(0.215, 1.002909090909091)",bus,,lv,
18,Bus R17,"(0.1433333333333333, 1.4327272727272728)",bus,,lv,
19,Bus R18,"(0.0, 1.576)",bus,,lv,
20,Bus I0,"(0.5601944444396667, 0.0)",first_bus,,lv,
21,Bus I1,"(0.5601944444396667, 0.14327272727272727)",bus,,lv,
22,Bus I2,"(0.5601944444396667, 0.28654545454545455)",bus,,lv,
23,Bus C0,"(0.5601944444396667, 0.0)",first_bus,,lv,
24,Bus C1,"(0.8062499999999999, 0.14327272727272727)",bus,,lv,
25,Bus C2,"(0.8062499999999999, 0.28654545454545455)",bus,,lv,
26,Bus C3,"(0.8062499999999999, 0.4298181818181818)",bus,,lv,
27,Bus C4,"(0.6091666666666666, 0.5730909090909091)",bus,,lv,
28,Bus C5,"(0.6091666666666666, 0.7163636363636364)",bus,,lv,
29,Bus C6,"(0.5016666666666667, 0.8596363636363636)",bus,,lv,
30,Bus C7,"(0.5016666666666667, 1.002909090909091)",bus,,lv,
31,Bus C8,"(0.5016666666666667, 1.1461818181818182)",bus,,lv,
32,Bus C9,"(0.43, 1.2894545454545456)",bus,,lv,
33,Bus C10,"(1.0033333333333334, 0.5730909090909091)",bus,,lv,
34,Bus C11,"(0.9316666666666666, 0.7163636363636364)",bus,,lv,
35,Bus C12,"(0.86, 0.8596363636363636)",bus,,lv,
36,Bus C13,"(1.0033333333333334, 0.8596363636363636)",bus,,lv,
37,Bus C14,"(1.075, 0.7163636363636364)",bus,,lv,
38,Bus C15,"(0.7166666666666666, 0.8596363636363636)",bus,,lv,
39,Bus C16,"(0.6449999999999999, 1.002909090909091)",bus,,lv,
40,Bus C17,"(0.7883333333333332, 1.002909090909091)",bus,,lv,
41,Bus C18,"(0.6449999999999999, 1.1461818181818182)",bus,,lv,
42,Bus C19,"(0.5733333333333333, 1.2894545454545456)",bus,,lv,
43,Bus C20,"(0.43, 1.4327272727272728)",bus,,lv,
44,Line R1-R2,,line,"('Bus R1', 'Bus R2')",lv,0.035
45,Line R2-R3,,line,"('Bus R2', 'Bus R3')",lv,0.035
46,Line R3-R4,,line,"('Bus R3', 'Bus R4')",lv,0.035
47,Line R4-R5,,line,"('Bus R4', 'Bus R5')",lv,0.035
48,Line R5-R6,,line,"('Bus R5', 'Bus R6')",lv,0.035
49,Line R6-R7,,line,"('Bus R6', 'Bus R7')",lv,0.035
50,Line R7-R8,,line,"('Bus R7', 'Bus R8')",lv,0.035
51,Line R8-R9,,line,"('Bus R8', 'Bus R9')",lv,0.035
52,Line R9-R10,,line,"('Bus R9', 'Bus R10')",lv,0.035
53,Line R3-R11,,line,"('Bus R3', 'Bus R11')",lv,0.03
54,Line R4-R12,,line,"('Bus R4', 'Bus R12')",lv,0.035
55,Line R12-R13,,line,"('Bus R12', 'Bus R13')",lv,0.035
56,Line R13-R14,,line,"('Bus R13', 'Bus R14')",lv,0.035
57,Line R14-R15,,line,"('Bus R14', 'Bus R15')",lv,0.03
58,Line R6-R16,,line,"('Bus R6', 'Bus R16')",lv,0.03
59,Line R9-R17,,line,"('Bus R9', 'Bus R17')",lv,0.03
60,Line R10-R18,,line,"('Bus R10', 'Bus R18')",lv,0.03
61,Line I1-I2,,line,"('Bus I1', 'Bus I2')",lv,0.2
62,Line C1-C2,,line,"('Bus C1', 'Bus C2')",lv,0.03
63,Line C2-C3,,line,"('Bus C2', 'Bus C3')",lv,0.03
64,Line C3-C4,,line,"('Bus C3', 'Bus C4')",lv,0.03
65,Line C4-C5,,line,"('Bus C4', 'Bus C5')",lv,0.03
66,Line C5-C6,,line,"('Bus C5', 'Bus C6')",lv,0.03
67,Line C6-C7,,line,"('Bus C6', 'Bus C7')",lv,0.03
68,Line C7-C8,,line,"('Bus C7', 'Bus C8')",lv,0.03
69,Line C8-C9,,line,"('Bus C8', 'Bus C9')",lv,0.03
70,Line C3-C10,,line,"('Bus C3', 'Bus C10')",lv,0.03
71,Line C10-C11,,line,"('Bus C10', 'Bus C11')",lv,0.03
72,Line C11-C12,,line,"('Bus C11', 'Bus C12')",lv,0.03
73,Line C11-C13,,line,"('Bus C11', 'Bus C13')",lv,0.03
74,Line C10-C14,,line,"('Bus C10', 'Bus C14')",lv,0.03
75,Line C5-C15,,line,"('Bus C5', 'Bus C15')",lv,0.03
76,Line C15-C16,,line,"('Bus C15', 'Bus C16')",lv,0.03
77,Line C15-C17,,line,"('Bus C15', 'Bus C17')",lv,0.03
78,Line C16-C18,,line,"('Bus C16', 'Bus C18')",lv,0.03
79,Line C8-C19,,line,"('Bus C8', 'Bus C19')",lv,0.03
80,Line C9-C20,,line,"('Bus C9', 'Bus C20')",lv,0.03
81,Trafo R0-R1,"(0.44134722221983336, 0.07163636363636364)",trafo,"('Bus R0', 'Bus R1')",lv,
82,Trafo I0-I1,"(0.5601944444396667, 0.07163636363636364)",trafo,"('Bus I0', 'Bus I1')",lv,
83,Trafo C0-C1,"(0.6832222222198333, 0.07163636363636364)",trafo,"('Bus C0', 'Bus C1')",lv,
84,S1,"(0.5601944444396667, 0.0)",switch,"('Bus R0', 'Bus 0')",lv,
85,S2,"(0.5601944444396667, 0.0)",switch,"('Bus I0', 'Bus 0')",lv,
86,S3,"(0.5601944444396667, 0.0)",switch,"('Bus C0', 'Bus 0')",lv,
87,Load R1,"(0.31445819282203497, 0.13250723873005393)",load,Bus R1,lv,
88,Load R11,"(0.3881456774499309, 0.5851039892580416)",load,Bus R11,lv,
89,Load R15,"(0.34629135489986185, 1.1702079785160833)",load,Bus R15,lv,
90,Load R16,"(0.241875, 1.002909090909091)",load,Bus R16,lv,
91,Load R17,"(0.17020833333333332, 1.4327272727272728)",load,Bus R17,lv,
92,Load R18,"(-0.012041978433471446, 1.6000261603342651)",load,Bus R18,lv,
93,Load I2,"(0.5441108300837367, 0.26501447746010787)",load,Bus I2,lv,
94,Load C1,"(0.7901663856440699, 0.12174175018738058)",load,Bus C1,lv,
95,Load C12,"(0.84391638564407, 0.838105386551017)",load,Bus C12,lv,
96,Load C13,"(0.9872497189774034, 0.838105386551017)",load,Bus C13,lv,
97,Load C14,"(1.0629580215665284, 0.7403897966979014)",load,Bus C14,lv,
98,Load C17,"(0.7762913548998618, 1.026935251243356)",load,Bus C17,lv,
99,Load C18,"(0.6329580215665285, 1.1702079785160833)",load,Bus C18,lv,
100,Load C19,"(0.5612913548998618, 1.3134807057888107)",load,Bus C19,lv,
101,Load C20,"(0.41795802156652856, 1.456753433061538)",load,Bus C20,lv,
