,name,pos,type,connection,voltage,connection_length
0,mv bus,"(0.57, 0.0)",first_bus,,lv,
1,busbar,"(0.57, 0.22799999999999998)",bus,,lv,
2,bus 2,"(0.0, 0.45599999999999996)",bus,,lv,
3,bus 3,"(0.0, 0.6839999999999999)",bus,,lv,
4,bus 4,"(0.34199999999999997, 0.45599999999999996)",bus,,lv,
5,bus 5,"(0.22799999999999998, 0.6839999999999999)",bus,,lv,
6,bus 6,"(0.11399999999999999, 0.9119999999999999)",bus,,lv,
7,bus 7,"(0.45599999999999996, 0.6839999999999999)",bus,,lv,
8,bus 8,"(0.34199999999999997, 0.9119999999999999)",bus,,lv,
9,bus 9,"(0.11399999999999999, 1.14)",bus,,lv,
10,bus 10,"(0.7979999999999999, 0.45599999999999996)",bus,,lv,
11,bus 11,"(0.6839999999999999, 0.6839999999999999)",bus,,lv,
12,bus 12,"(0.57, 0.9119999999999999)",bus,,lv,
13,bus 13,"(0.9119999999999999, 0.6839999999999999)",bus,,lv,
14,bus 14,"(0.7979999999999999, 0.9119999999999999)",bus,,lv,
15,bus 15,"(0.57, 1.14)",bus,,lv,
16,bus 16,"(1.14, 0.45599999999999996)",bus,,lv,
17,bus 17,"(1.14, 0.6839999999999999)",bus,,lv,
18,line0,,line,"('busbar', 'bus 2')",lv,0.003
19,line1,,line,"('bus 2', 'bus 3')",lv,0.004
20,line2,,line,"('busbar', 'bus 4')",lv,0.076
21,line3,,line,"('bus 4', 'bus 5')",lv,0.076
22,line4,,line,"('bus 5', 'bus 6')",lv,0.076
23,line5,,line,"('bus 4', 'bus 7')",lv,0.004
24,line6,,line,"('bus 5', 'bus 8')",lv,0.004
25,line7,,line,"('bus 6', 'bus 9')",lv,0.004
26,line8,,line,"('busbar', 'bus 10')",lv,0.076
27,line9,,line,"('bus 10', 'bus 11')",lv,0.076
28,line10,,line,"('bus 11', 'bus 12')",lv,0.076
29,line11,,line,"('bus 10', 'bus 13')",lv,0.004
30,line12,,line,"('bus 11', 'bus 14')",lv,0.004
31,line13,,line,"('bus 12', 'bus 15')",lv,0.004
32,line14,,line,"('busbar', 'bus 16')",lv,0.076
33,line15,,line,"('bus 16', 'bus 17')",lv,0.004
34,trafo0,"(0.57, 0.11399999999999999)",trafo,"('mv bus', 'busbar')",lv,
35,load0,"(-0.017056111968148956, 0.6611671498815858)",load,bus 3,lv,
36,load1,"(0.4634858383406526, 0.6961253752246112)",load,bus 7,lv,
37,load2,"(0.3494858383406526, 0.9241253752246111)",load,bus 8,lv,
38,load3,"(0.10761495097015931, 1.152739452456308)",load,bus 9,lv,
39,load4,"(0.9194858383406526, 0.6961253752246112)",load,bus 13,lv,
40,load5,"(0.8054858383406526, 0.9241253752246111)",load,bus 14,lv,
41,load6,"(0.5636149509701592, 1.152739452456308)",load,bus 15,lv,
42,load7,"(1.1680548855930264, 0.6789826905255704)",load,bus 17,lv,
43,load8,"(-0.017056111968148956, 0.4331671498815858)",load,bus 2,lv,
44,load9,"(0.09694388803185103, 0.8891671498815857)",load,bus 6,lv,
45,load10,"(0.6914858383406526, 0.6961253752246112)",load,bus 11,lv,
46,gen0,"(0.028054885593026387, 0.6789826905255704)",gen,bus 3,lv,
47,gen1,"(0.11923430099015599, 1.1267461479884353)",gen,bus 9,lv,
48,gen2,"(0.783805748349238, 0.9132592537769819)",gen,bus 14,lv,
49,gen3,"(0.5752343009901559, 1.1267461479884353)",gen,bus 15,lv,
