,name,pos,type,connection,voltage,connection_length
0,mv bus,"(1.6879803921568628, 0.0)",first_bus,,lv,
1,busbar,"(1.6879803921568628, 0.1089)",bus,,lv,
2,bus 2,"(0.6534117647058824, 0.2178)",bus,,lv,
3,bus 3,"(0.5989607843137256, 0.3267)",bus,,lv,
4,bus 4,"(0.5445098039215687, 0.4356)",bus,,lv,
5,bus 5,"(0.4900588235294118, 0.5445)",bus,,lv,
6,bus 6,"(0.4356078431372549, 0.6534)",bus,,lv,
7,bus 7,"(0.3811568627450981, 0.7623)",bus,,lv,
8,bus 8,"(0.3267058823529412, 0.8712)",bus,,lv,
9,bus 9,"(0.27225490196078433, 0.9801)",bus,,lv,
10,bus 10,"(0.21780392156862746, 1.089)",bus,,lv,
11,bus 11,"(0.7078627450980391, 0.3267)",bus,,lv,
12,bus 12,"(0.6534117647058824, 0.4356)",bus,,lv,
13,bus 13,"(0.5989607843137256, 0.5445)",bus,,lv,
14,bus 14,"(0.5445098039215687, 0.6534)",bus,,lv,
15,bus 15,"(0.4900588235294118, 0.7623)",bus,,lv,
16,bus 16,"(0.4356078431372549, 0.8712)",bus,,lv,
17,bus 17,"(0.3811568627450981, 0.9801)",bus,,lv,
18,bus 18,"(0.3267058823529412, 1.089)",bus,,lv,
19,bus 19,"(0.21780392156862746, 1.1979000000000002)",bus,,lv,
20,bus 20,"(0.8712156862745098, 0.2178)",bus,,lv,
21,bus 21,"(0.8167647058823531, 0.3267)",bus,,lv,
22,bus 22,"(0.7623137254901962, 0.4356)",bus,,lv,
23,bus 23,"(0.7078627450980391, 0.5445)",bus,,lv,
24,bus 24,"(0.6534117647058824, 0.6534)",bus,,lv,
25,bus 25,"(0.5989607843137256, 0.7623)",bus,,lv,
26,bus 26,"(0.5445098039215687, 0.8712)",bus,,lv,
27,bus 27,"(0.4900588235294118, 0.9801)",bus,,lv,
28,bus 28,"(0.4356078431372549, 1.089)",bus,,lv,
29,bus 29,"(0.3811568627450981, 1.1979000000000002)",bus,,lv,
30,bus 30,"(0.3267058823529412, 1.3068)",bus,,lv,
31,bus 31,"(0.27225490196078433, 1.4157000000000002)",bus,,lv,
32,bus 32,"(0.21780392156862746, 1.5246)",bus,,lv,
33,bus 33,"(0.1633529411764706, 1.6335000000000002)",bus,,lv,
34,bus 34,"(0.10890196078431373, 1.7424)",bus,,lv,
35,bus 35,"(0.054450980392156866, 1.8513000000000002)",bus,,lv,
36,bus 36,"(0.0, 1.9602)",bus,,lv,
37,bus 37,"(0.9256666666666666, 0.3267)",bus,,lv,
38,bus 38,"(0.8712156862745098, 0.4356)",bus,,lv,
39,bus 39,"(0.8167647058823531, 0.5445)",bus,,lv,
40,bus 40,"(0.7623137254901962, 0.6534)",bus,,lv,
41,bus 41,"(0.7078627450980391, 0.7623)",bus,,lv,
42,bus 42,"(0.6534117647058824, 0.8712)",bus,,lv,
43,bus 43,"(0.5989607843137256, 0.9801)",bus,,lv,
44,bus 44,"(0.5445098039215687, 1.089)",bus,,lv,
45,bus 45,"(0.4900588235294118, 1.1979000000000002)",bus,,lv,
46,bus 46,"(0.4356078431372549, 1.3068)",bus,,lv,
47,bus 47,"(0.3811568627450981, 1.4157000000000002)",bus,,lv,
48,bus 48,"(0.3267058823529412, 1.5246)",bus,,lv,
49,bus 49,"(0.27225490196078433, 1.6335000000000002)",bus,,lv,
50,bus 50,"(0.21780392156862746, 1.7424)",bus,,lv,
51,bus 51,"(0.1633529411764706, 1.8513000000000002)",bus,,lv,
52,bus 52,"(0.10890196078431373, 1.9602)",bus,,lv,
53,bus 53,"(0.0, 2.0691)",bus,,lv,
54,bus 54,"(1.0890196078431373, 0.2178)",bus,,lv,
55,bus 55,"(1.0345686274509804, 0.3267)",bus,,lv,
56,bus 56,"(0.9801176470588236, 0.4356)",bus,,lv,
57,bus 57,"(0.9256666666666666, 0.5445)",bus,,lv,
58,bus 58,"(0.8712156862745098, 0.6534)",bus,,lv,
59,bus 59,"(1.143470588235294, 0.3267)",bus,,lv,
60,bus 60,"(1.0890196078431373, 0.4356)",bus,,lv,
61,bus 61,"(1.0345686274509804, 0.5445)",bus,,lv,
62,bus 62,"(0.9801176470588236, 0.6534)",bus,,lv,
63,bus 63,"(0.8712156862745098, 0.7623)",bus,,lv,
64,bus 64,"(1.3068235294117647, 0.2178)",bus,,lv,
65,bus 65,"(1.2523725490196078, 0.3267)",bus,,lv,
66,bus 66,"(1.1979215686274511, 0.4356)",bus,,lv,
67,bus 67,"(1.143470588235294, 0.5445)",bus,,lv,
68,bus 68,"(1.0890196078431373, 0.6534)",bus,,lv,
69,bus 69,"(1.0345686274509804, 0.7623)",bus,,lv,
70,bus 70,"(0.9801176470588236, 0.8712)",bus,,lv,
71,bus 71,"(0.9256666666666666, 0.9801)",bus,,lv,
72,bus 72,"(0.8712156862745098, 1.089)",bus,,lv,
73,bus 73,"(0.8167647058823531, 1.1979000000000002)",bus,,lv,
74,bus 74,"(0.7623137254901962, 1.3068)",bus,,lv,
75,bus 75,"(0.7078627450980391, 1.4157000000000002)",bus,,lv,
76,bus 76,"(0.6534117647058824, 1.5246)",bus,,lv,
77,bus 77,"(1.3612745098039216, 0.3267)",bus,,lv,
78,bus 78,"(1.3068235294117647, 0.4356)",bus,,lv,
79,bus 79,"(1.2523725490196078, 0.5445)",bus,,lv,
80,bus 80,"(1.1979215686274511, 0.6534)",bus,,lv,
81,bus 81,"(1.143470588235294, 0.7623)",bus,,lv,
82,bus 82,"(1.0890196078431373, 0.8712)",bus,,lv,
83,bus 83,"(1.0345686274509804, 0.9801)",bus,,lv,
84,bus 84,"(0.9801176470588236, 1.089)",bus,,lv,
85,bus 85,"(0.9256666666666666, 1.1979000000000002)",bus,,lv,
86,bus 86,"(0.8712156862745098, 1.3068)",bus,,lv,
87,bus 87,"(0.8167647058823531, 1.4157000000000002)",bus,,lv,
88,bus 88,"(0.7623137254901962, 1.5246)",bus,,lv,
89,bus 89,"(0.6534117647058824, 1.6335000000000002)",bus,,lv,
90,bus 90,"(1.5246274509803923, 0.2178)",bus,,lv,
91,bus 91,"(1.4701764705882354, 0.3267)",bus,,lv,
92,bus 92,"(1.4157254901960783, 0.4356)",bus,,lv,
93,bus 93,"(1.3612745098039216, 0.5445)",bus,,lv,
94,bus 94,"(1.3068235294117647, 0.6534)",bus,,lv,
95,bus 95,"(1.2523725490196078, 0.7623)",bus,,lv,
96,bus 96,"(1.1979215686274511, 0.8712)",bus,,lv,
97,bus 97,"(1.143470588235294, 0.9801)",bus,,lv,
98,bus 98,"(1.579078431372549, 0.3267)",bus,,lv,
99,bus 99,"(1.5246274509803923, 0.4356)",bus,,lv,
100,bus 100,"(1.4701764705882354, 0.5445)",bus,,lv,
101,bus 101,"(1.4157254901960783, 0.6534)",bus,,lv,
102,bus 102,"(1.3612745098039216, 0.7623)",bus,,lv,
103,bus 103,"(1.3068235294117647, 0.8712)",bus,,lv,
104,bus 104,"(1.2523725490196078, 0.9801)",bus,,lv,
105,bus 105,"(1.143470588235294, 1.089)",bus,,lv,
106,bus 106,"(1.6879803921568628, 0.2178)",bus,,lv,
107,bus 107,"(1.6879803921568628, 0.3267)",bus,,lv,
108,bus 108,"(1.8513333333333333, 0.2178)",bus,,lv,
109,bus 109,"(1.7968823529411766, 0.3267)",bus,,lv,
110,bus 110,"(1.7424313725490197, 0.4356)",bus,,lv,
111,bus 111,"(1.6879803921568628, 0.5445)",bus,,lv,
112,bus 112,"(1.6335294117647061, 0.6534)",bus,,lv,
113,bus 113,"(1.579078431372549, 0.7623)",bus,,lv,
114,bus 114,"(1.5246274509803923, 0.8712)",bus,,lv,
115,bus 115,"(1.4701764705882354, 0.9801)",bus,,lv,
116,bus 116,"(1.4157254901960783, 1.089)",bus,,lv,
117,bus 117,"(1.9057843137254904, 0.3267)",bus,,lv,
118,bus 118,"(1.8513333333333333, 0.4356)",bus,,lv,
119,bus 119,"(1.7968823529411766, 0.5445)",bus,,lv,
120,bus 120,"(1.7424313725490197, 0.6534)",bus,,lv,
121,bus 121,"(1.6879803921568628, 0.7623)",bus,,lv,
122,bus 122,"(1.6335294117647061, 0.8712)",bus,,lv,
123,bus 123,"(1.579078431372549, 0.9801)",bus,,lv,
124,bus 124,"(1.5246274509803923, 1.089)",bus,,lv,
125,bus 125,"(1.4157254901960783, 1.1979000000000002)",bus,,lv,
126,bus 126,"(2.069137254901961, 0.2178)",bus,,lv,
127,bus 127,"(2.014686274509804, 0.3267)",bus,,lv,
128,bus 128,"(1.9602352941176473, 0.4356)",bus,,lv,
129,bus 129,"(1.9057843137254904, 0.5445)",bus,,lv,
130,bus 130,"(1.8513333333333333, 0.6534)",bus,,lv,
131,bus 131,"(1.7968823529411766, 0.7623)",bus,,lv,
132,bus 132,"(1.7424313725490197, 0.8712)",bus,,lv,
133,bus 133,"(1.6879803921568628, 0.9801)",bus,,lv,
134,bus 134,"(1.6335294117647061, 1.089)",bus,,lv,
135,bus 135,"(1.579078431372549, 1.1979000000000002)",bus,,lv,
136,bus 136,"(1.5246274509803923, 1.3068)",bus,,lv,
137,bus 137,"(1.4701764705882354, 1.4157000000000002)",bus,,lv,
138,bus 138,"(1.4157254901960783, 1.5246)",bus,,lv,
139,bus 139,"(1.3612745098039216, 1.6335000000000002)",bus,,lv,
140,bus 140,"(1.3068235294117647, 1.7424)",bus,,lv,
141,bus 141,"(1.2523725490196078, 1.8513000000000002)",bus,,lv,
142,bus 142,"(1.1979215686274511, 1.9602)",bus,,lv,
143,bus 143,"(2.1235882352941178, 0.3267)",bus,,lv,
144,bus 144,"(2.069137254901961, 0.4356)",bus,,lv,
