,name,pos,type,connection,voltage,connection_length
0,mv bus,"(1.2999333333333332, 0.0)",first_bus,,lv,
1,busbar,"(1.2999333333333332, 0.1857)",bus,,lv,
2,bus 2,"(0.7428190476190476, 0.3714)",bus,,lv,
3,bus 3,"(0.6499666666666666, 0.5571)",bus,,lv,
4,bus 4,"(0.5571142857142857, 0.7428)",bus,,lv,
5,bus 5,"(0.4642619047619047, 0.9285000000000001)",bus,,lv,
6,bus 6,"(0.3714095238095238, 1.1142)",bus,,lv,
7,bus 7,"(0.27855714285714284, 1.2999)",bus,,lv,
8,bus 8,"(0.1857047619047619, 1.4856)",bus,,lv,
9,bus 9,"(0.09285238095238095, 1.6713000000000002)",bus,,lv,
10,bus 10,"(0.0, 1.8570000000000002)",bus,,lv,
11,bus 11,"(0.8356714285714285, 0.5571)",bus,,lv,
12,bus 12,"(0.7428190476190476, 0.7428)",bus,,lv,
13,bus 13,"(0.6499666666666666, 0.9285000000000001)",bus,,lv,
14,bus 14,"(0.5571142857142857, 1.1142)",bus,,lv,
15,bus 15,"(0.4642619047619047, 1.2999)",bus,,lv,
16,bus 16,"(0.3714095238095238, 1.4856)",bus,,lv,
17,bus 17,"(0.27855714285714284, 1.6713000000000002)",bus,,lv,
18,bus 18,"(0.1857047619047619, 1.8570000000000002)",bus,,lv,
19,bus 19,"(0.0, 2.0427)",bus,,lv,
20,bus 20,"(1.1142285714285713, 0.3714)",bus,,lv,
21,bus 21,"(1.0213761904761904, 0.5571)",bus,,lv,
22,bus 22,"(0.9285238095238094, 0.7428)",bus,,lv,
23,bus 23,"(0.8356714285714285, 0.9285000000000001)",bus,,lv,
24,bus 24,"(0.7428190476190476, 1.1142)",bus,,lv,
25,bus 25,"(0.6499666666666666, 1.2999)",bus,,lv,
26,bus 26,"(0.5571142857142857, 1.4856)",bus,,lv,
27,bus 27,"(0.4642619047619047, 1.6713000000000002)",bus,,lv,
28,bus 28,"(0.3714095238095238, 1.8570000000000002)",bus,,lv,
29,bus 29,"(0.27855714285714284, 2.0427)",bus,,lv,
30,bus 30,"(0.1857047619047619, 2.2284)",bus,,lv,
31,bus 31,"(0.09285238095238095, 2.4141000000000004)",bus,,lv,
32,bus 32,"(1.2070809523809525, 0.5571)",bus,,lv,
33,bus 33,"(1.1142285714285713, 0.7428)",bus,,lv,
34,bus 34,"(1.0213761904761904, 0.9285000000000001)",bus,,lv,
35,bus 35,"(0.9285238095238094, 1.1142)",bus,,lv,
36,bus 36,"(0.8356714285714285, 1.2999)",bus,,lv,
37,bus 37,"(0.7428190476190476, 1.4856)",bus,,lv,
38,bus 38,"(0.6499666666666666, 1.6713000000000002)",bus,,lv,
39,bus 39,"(0.5571142857142857, 1.8570000000000002)",bus,,lv,
40,bus 40,"(0.4642619047619047, 2.0427)",bus,,lv,
41,bus 41,"(0.3714095238095238, 2.2284)",bus,,lv,
42,bus 42,"(0.27855714285714284, 2.4141000000000004)",bus,,lv,
43,bus 43,"(0.09285238095238095, 2.5998)",bus,,lv,
44,bus 44,"(1.4856380952380952, 0.3714)",bus,,lv,
45,bus 45,"(1.3927857142857143, 0.5571)",bus,,lv,
46,bus 46,"(1.2999333333333332, 0.7428)",bus,,lv,
47,bus 47,"(1.2070809523809525, 0.9285000000000001)",bus,,lv,
48,bus 48,"(1.1142285714285713, 1.1142)",bus,,lv,
49,bus 49,"(1.578490476190476, 0.5571)",bus,,lv,
